[2020-10-22 19:24:45.149281] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:4, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:46.147009] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:5, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:47.190824] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:6, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:48.148467] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:7, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:49.201615] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:8, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:50.143908] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:9, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-22 19:24:51.157753] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:10, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

